reserved_program_id,university_id,program_slot,status,reason,evidence_note
prog_mm_031,uni_mm_011,1,DEFERRED,Exact current programme title was not sufficiently verified from an accessible current first-party programme-level source.,"Current official Myeik University material confirms an active university with Arts and Science departments, but department names are not converted into exact degree titles."
prog_mm_032,uni_mm_011,2,DEFERRED,Second exact current degree identity not verified to EduPath source standard.,External degree listings are not used as substitutes for programme-level first-party verification.
prog_mm_033,uni_mm_011,3,DEFERRED,Third programme slot remains reserved for future first-party verification.,No programme title or degree level is inferred solely from department names.
prog_mm_034,uni_mm_012,1,DEFERRED,Current Ministry source verifies the institution but not an exact current programme identity for this slot.,"The Ministry of Education university page contains current institutional records, but programme-level degree titles were not sufficiently exposed."
prog_mm_035,uni_mm_012,2,DEFERRED,Second programme identity not sufficiently verified from a first-party programme source.,International cooperation evidence confirms institutional activity but does not prove a specific current degree programme.
prog_mm_036,uni_mm_012,3,DEFERRED,Third programme slot remains reserved.,"No degree title is fabricated from faculty, department or MoU information."
prog_mm_040,uni_mm_014,1,DEFERRED,Exact current degree identity was not sufficiently verified from the current first-party Ministry programme source.,"The Ministry of Education page verifies Sittway University and institutional activity, but does not expose enough programme-level detail for this pass."
prog_mm_041,uni_mm_014,2,DEFERRED,Second current programme title not verified to EduPath first-party standard.,Historical/external degree lists are not promoted automatically to current records.
prog_mm_042,uni_mm_014,3,DEFERRED,Third programme slot remains reserved until current programme evidence is found.,No programme name is inferred solely from known academic departments.
prog_mm_043,uni_mm_015,1,DEFERRED,Exact current programme title was not sufficiently verified from an accessible current first-party programme page.,"Historical and external programme lists exist, but EduPath does not treat them as sufficient current first-party evidence."
prog_mm_044,uni_mm_015,2,DEFERRED,Second exact current programme identity not verified to required source standard.,Programme title remains blank rather than using an unverified external list.
prog_mm_045,uni_mm_015,3,DEFERRED,Third slot remains reserved for future official verification.,No programme identity is fabricated.
