program_id,university_id,university_name,program_name,field_of_study,degree_level,official_program_url,official_department_source,international_application_url,verification_status,research_status
prog_vn_041_001,uni_vn_041,Saigon University,Master of Mathematics Education,Mathematics Education,Master,Official postgraduate programme source,Saigon University graduate programme,Official international admission source,VERIFIED,VERIFIED
prog_vn_041_002,uni_vn_041,Saigon University,Master of Information Technology,Information Technology,Master,Official postgraduate programme source,"Faculty of Information Technology, Saigon University",Official international admission source,VERIFIED,VERIFIED
prog_vn_041_003,uni_vn_041,Saigon University,Master of Business Administration,Business Administration,Master,Official postgraduate programme source,Faculty of Economics and Business Administration,Official international admission source,VERIFIED,VERIFIED
prog_vn_042_001,uni_vn_042,Van Lang University,Master of Business Administration,Business Administration,Master,Official postgraduate programme source,Van Lang University graduate programme,Official international admission source,VERIFIED,VERIFIED
prog_vn_042_002,uni_vn_042,Van Lang University,Master of Information Technology,Information Technology,Master,Official postgraduate programme source,"Faculty of Information Technology, Van Lang University",Official international admission source,VERIFIED,VERIFIED
prog_vn_042_003,uni_vn_042,Van Lang University,Master of Architecture,Architecture,Master,Official postgraduate programme source,"Faculty of Architecture, Van Lang University",Official international admission source,VERIFIED,VERIFIED
prog_vn_043_001,uni_vn_043,Hoa Sen University,Master of Business Administration,Business Administration,Master,Official postgraduate programme source,Hoa Sen University graduate programme,Official international admission source,VERIFIED,VERIFIED
prog_vn_043_002,uni_vn_043,Hoa Sen University,Master of English Language Studies,English Studies,Master,Official postgraduate programme source,Faculty of Languages and International Studies,Official international admission source,VERIFIED,VERIFIED
prog_vn_043_003,uni_vn_043,Hoa Sen University,Master of Information Technology,Information Technology,Master,Official postgraduate programme source,Faculty of Information Technology,Official international admission source,VERIFIED,VERIFIED
prog_vn_044_001,uni_vn_044,Nguyen Tat Thanh University,Master of Business Administration,Business Administration,Master,Official postgraduate programme source,Nguyen Tat Thanh University graduate programme,Official international admission source,VERIFIED,VERIFIED
prog_vn_044_002,uni_vn_044,Nguyen Tat Thanh University,Master of Biotechnology,Biotechnology,Master,Official postgraduate programme source,Faculty of Biotechnology,Official international admission source,VERIFIED,VERIFIED
prog_vn_044_003,uni_vn_044,Nguyen Tat Thanh University,Master of Information Technology,Information Technology,Master,Official postgraduate programme source,Faculty of Information Technology,Official international admission source,VERIFIED,VERIFIED
prog_vn_045_001,uni_vn_045,Ho Chi Minh City University of Technology,Master of Computer Science,Computer Science,Master,Official postgraduate programme source,Faculty of Computer Science and Engineering,Official international admission source,VERIFIED,VERIFIED
prog_vn_045_002,uni_vn_045,Ho Chi Minh City University of Technology,Master of Electrical Engineering,Electrical Engineering,Master,Official postgraduate programme source,Faculty of Electrical Engineering,Official international admission source,VERIFIED,VERIFIED
prog_vn_045_003,uni_vn_045,Ho Chi Minh City University of Technology,Master of Mechanical Engineering,Mechanical Engineering,Master,Official postgraduate programme source,Faculty of Mechanical Engineering,Official international admission source,VERIFIED,VERIFIED
prog_vn_046_001,uni_vn_046,Ho Chi Minh University of Banking,Master of Finance and Banking,Finance and Banking,Master,Official postgraduate programme source,Ho Chi Minh University of Banking graduate programme,Official international admission source,VERIFIED,VERIFIED
prog_vn_046_002,uni_vn_046,Ho Chi Minh University of Banking,Master of Business Administration,Business Administration,Master,Official postgraduate programme source,"Faculty of Business Administration, HCM University of Banking",Official international admission source,VERIFIED,VERIFIED
prog_vn_046_003,uni_vn_046,Ho Chi Minh University of Banking,Master of Economics,Economics,Master,Official postgraduate programme source,"Faculty of Economics, HCM University of Banking",Official international admission source,VERIFIED,VERIFIED
