program_id,university_id,program_name,language_classification,source_name,source_url,verified_at,reason
prog_jp_001,uni_jp_001,Computer Science,English Available,UTokyo English Program in Information Science and Technology,https://www.i.u-tokyo.ac.jp/ist_en/en-course/prg_e.shtml,2026-08-09,"Official source confirms an English degree pathway, but this program record is not treated as universally English-only."
prog_jp_002,uni_jp_001,Mathematical Informatics,English Available,UTokyo English Program in Information Science and Technology,https://www.i.u-tokyo.ac.jp/ist_en/en-course/prg_e.shtml,2026-08-09,"Official source confirms an English degree pathway, but this program record is not treated as universally English-only."
prog_jp_003,uni_jp_001,Information Physics & Computing,English Available,UTokyo English Program in Information Science and Technology,https://www.i.u-tokyo.ac.jp/ist_en/en-course/prg_e.shtml,2026-08-09,"Official source confirms an English degree pathway, but this program record is not treated as universally English-only."
prog_jp_004,uni_jp_002,Intelligence Science and Technology,English Available,Kyoto University Graduate School of Informatics International Program,https://www.i.kyoto-u.ac.jp/en/education/intl_program/,2026-08-09,"Official source confirms an English degree pathway, but this program record is not treated as universally English-only."
prog_jp_005,uni_jp_002,Communications and Computer Engineering,English Available,Kyoto University Graduate School of Informatics International Program,https://www.i.kyoto-u.ac.jp/en/education/intl_program/,2026-08-09,"Official source confirms an English degree pathway, but this program record is not treated as universally English-only."
prog_jp_006,uni_jp_002,Data Science,Mixed,Kyoto University Graduate School of Informatics International Program,https://www.i.kyoto-u.ac.jp/en/education/intl_program/,2026-08-09,"Official source confirms English course availability, but does not confirm the whole degree as English-only."
prog_jp_007,uni_jp_003,Computer Science,Japanese,Osaka University IST Application Guides 2026,https://www.ist.osaka-u.ac.jp/english/examinees/admission/guidelines2026.php,2026-08-09,Official source states the regular program is basically conducted in Japanese.
prog_jp_008,uni_jp_003,Information Networking,Japanese,Osaka University IST Application Guides 2026,https://www.ist.osaka-u.ac.jp/english/examinees/admission/guidelines2026.php,2026-08-09,Official source states the regular program is basically conducted in Japanese.
prog_jp_009,uni_jp_003,Multimedia Engineering,Japanese,Osaka University IST Application Guides 2026,https://www.ist.osaka-u.ac.jp/english/examinees/admission/guidelines2026.php,2026-08-09,Official source states the regular program is basically conducted in Japanese.
prog_jp_010,uni_jp_004,Computer and Mathematical Sciences,Unknown,Tohoku University Graduate School of Information Sciences,https://www.is.tohoku.ac.jp/en/,2026-08-09,"Official source was reviewed, but it does not provide enough evidence to assign a full language-of-instruction classification."
prog_jp_011,uni_jp_004,System Information Sciences,Unknown,Tohoku University Graduate School of Information Sciences,https://www.is.tohoku.ac.jp/en/,2026-08-09,"Official source was reviewed, but it does not provide enough evidence to assign a full language-of-instruction classification."
prog_jp_012,uni_jp_004,Applied Information Sciences,Unknown,Tohoku University Graduate School of Information Sciences,https://www.is.tohoku.ac.jp/en/,2026-08-09,"Official source was reviewed, but it does not provide enough evidence to assign a full language-of-instruction classification."
prog_jp_013,uni_jp_005,Mathematical Informatics,Unknown,Nagoya University Graduate School of Informatics,https://www.i.nagoya-u.ac.jp/en/gs/entranceexamination/admission-en/,2026-08-09,"Official source was reviewed, but it does not provide enough evidence to assign a full language-of-instruction classification."
prog_jp_014,uni_jp_005,Computing and Software Systems,Unknown,Nagoya University Graduate School of Informatics,https://www.i.nagoya-u.ac.jp/en/gs/entranceexamination/admission-en/,2026-08-09,"Official source was reviewed, but it does not provide enough evidence to assign a full language-of-instruction classification."
prog_jp_015,uni_jp_005,Intelligent Systems,Unknown,Nagoya University Graduate School of Informatics,https://www.i.nagoya-u.ac.jp/en/gs/entranceexamination/admission-en/,2026-08-09,"Official source was reviewed, but it does not provide enough evidence to assign a full language-of-instruction classification."
prog_jp_016,uni_jp_006,International Master's/Doctoral Program in Information Science and Technology,English,Kyushu University International Graduate Programs,https://www.isc.kyushu-u.ac.jp/graduate/,2026-08-09,Official source explicitly confirms an English-taught degree/program.
prog_jp_017,uni_jp_006,International Master's/Doctoral Program in Electrical and Electronic Engineering,English,Kyushu University International Graduate Programs,https://www.isc.kyushu-u.ac.jp/graduate/,2026-08-09,Official source explicitly confirms an English-taught degree/program.
prog_jp_018,uni_jp_006,Master's Program in the Department of Design (Acoustic Design Course),English,Kyushu University International Graduate Programs,https://www.isc.kyushu-u.ac.jp/graduate/,2026-08-09,Official source explicitly confirms an English-taught degree/program.
prog_jp_019,uni_jp_007,Computer Science and Information Technology,Unknown,Hokkaido University Graduate School of Information Science and Technology,https://www.ist.hokudai.ac.jp/eng/,2026-08-09,"Official source was reviewed, but it does not provide enough evidence to assign a full language-of-instruction classification."
prog_jp_020,uni_jp_007,Media and Network Technologies,Unknown,Hokkaido University Graduate School of Information Science and Technology,https://www.ist.hokudai.ac.jp/eng/,2026-08-09,"Official source was reviewed, but it does not provide enough evidence to assign a full language-of-instruction classification."
prog_jp_021,uni_jp_007,Systems Science and Informatics,Unknown,Hokkaido University Graduate School of Information Science and Technology,https://www.ist.hokudai.ac.jp/eng/,2026-08-09,"Official source was reviewed, but it does not provide enough evidence to assign a full language-of-instruction classification."
prog_jp_022,uni_jp_008,Graduate major in Computer Science,English Available,Science Tokyo International Graduate Programs,https://admissions.isct.ac.jp/en/013/graduate/programs/science-and-engineering,2026-08-09,"Official source confirms an English degree pathway, but this program record is not treated as universally English-only."
prog_jp_023,uni_jp_008,Graduate major in Mathematical and Computing Science,English Available,Science Tokyo International Graduate Programs,https://admissions.isct.ac.jp/en/013/graduate/programs/science-and-engineering,2026-08-09,"Official source confirms an English degree pathway, but this program record is not treated as universally English-only."
prog_jp_024,uni_jp_008,Graduate major in Artificial Intelligence,English Available,Science Tokyo International Graduate Programs,https://admissions.isct.ac.jp/en/013/graduate/programs/science-and-engineering,2026-08-09,"Official source confirms an English degree pathway, but this program record is not treated as universally English-only."
prog_jp_025,uni_jp_009,Computer Science,English,University of Tsukuba Computer Science English Program,https://www.cs.tsukuba.ac.jp/cse/,2026-08-09,Official source explicitly confirms an English-taught degree/program.
prog_jp_026,uni_jp_009,Intelligent and Mechanical Interaction Systems,Unknown,University of Tsukuba Intelligent and Mechanical Interaction Systems,https://www.sie.tsukuba.ac.jp/eng/edu/course/imis/,2026-08-09,"Official source was reviewed, but it does not provide enough evidence to assign a full language-of-instruction classification."
prog_jp_027,uni_jp_009,Empowerment Informatics,Unknown,University of Tsukuba Empowerment Informatics,https://www.emp.tsukuba.ac.jp/english,2026-08-09,"Official source was reviewed, but it does not provide enough evidence to assign a full language-of-instruction classification."
prog_jp_028,uni_jp_010,Computer Science and Systems Engineering,Mixed,Kobe University Graduate School of System Informatics,https://www.csi.kobe-u.ac.jp/assets/files/brochureENG.pdf,2026-08-09,"Official source confirms English course availability, but does not confirm the whole degree as English-only."
