reserved_program_id,university_id,program_slot,status,reason,evidence_note
prog_mm_013,uni_mm_005,1,DEFERRED,Exact current programme title was not sufficiently verified from an accessible current first-party programme-level page.,University of Mandalay's current official site confirms active undergraduate and postgraduate admissions and states that 30 programmes are offered across 17 departments. Department names are not converted into programme titles.
prog_mm_014,uni_mm_005,2,DEFERRED,A second exact current degree identity could not be verified to EduPath's programme-level source standard.,"The official site lists academic departments including Computer Studies, Law, English and other disciplines, but a department is not treated as proof of an exact degree title."
prog_mm_015,uni_mm_005,3,DEFERRED,Third programme slot remains reserved until sufficient first-party programme evidence is available.,"No programme name, degree level or duration is fabricated solely from faculty or department information."
prog_mm_031,uni_mm_011,1,DEFERRED,Exact current programme title was not sufficiently verified from an accessible current first-party programme-level source.,"Current official Myeik University material confirms an active university with Arts and Science departments, but department names are not converted into exact degree titles."
prog_mm_032,uni_mm_011,2,DEFERRED,Second exact current degree identity not verified to EduPath source standard.,External degree listings are not used as substitutes for programme-level first-party verification.
prog_mm_033,uni_mm_011,3,DEFERRED,Third programme slot remains reserved for future first-party verification.,No programme title or degree level is inferred solely from department names.
prog_mm_034,uni_mm_012,1,DEFERRED,Current Ministry source verifies the institution but not an exact current programme identity for this slot.,"The Ministry of Education university page contains current institutional records, but programme-level degree titles were not sufficiently exposed."
prog_mm_035,uni_mm_012,2,DEFERRED,Second programme identity not sufficiently verified from a first-party programme source.,International cooperation evidence confirms institutional activity but does not prove a specific current degree programme.
prog_mm_036,uni_mm_012,3,DEFERRED,Third programme slot remains reserved.,"No degree title is fabricated from faculty, department or MoU information."
prog_mm_040,uni_mm_014,1,DEFERRED,Exact current degree identity was not sufficiently verified from the current first-party Ministry programme source.,"The Ministry of Education page verifies Sittway University and institutional activity, but does not expose enough programme-level detail for this pass."
prog_mm_041,uni_mm_014,2,DEFERRED,Second current programme title not verified to EduPath first-party standard.,Historical/external degree lists are not promoted automatically to current records.
prog_mm_042,uni_mm_014,3,DEFERRED,Third programme slot remains reserved until current programme evidence is found.,No programme name is inferred solely from known academic departments.
prog_mm_043,uni_mm_015,1,DEFERRED,Exact current programme title was not sufficiently verified from an accessible current first-party programme page.,"Historical and external programme lists exist, but EduPath does not treat them as sufficient current first-party evidence."
prog_mm_044,uni_mm_015,2,DEFERRED,Second exact current programme identity not verified to required source standard.,Programme title remains blank rather than using an unverified external list.
prog_mm_045,uni_mm_015,3,DEFERRED,Third slot remains reserved for future official verification.,No programme identity is fabricated.
prog_mm_046,uni_mm_016,1,DEFERRED,Exact current programme title was not sufficiently verified from an accessible current first-party programme-level page.,"The current official university website confirms Meiktila University of Economics as an active institution, but the accessible official page does not expose sufficient current programme-level degree information for this slot."
prog_mm_047,uni_mm_016,2,DEFERRED,Second exact current programme identity not verified to EduPath first-party programme-level source standard.,"Historical and third-party references mention economics and business degrees, but they are not promoted into the canonical dataset without sufficient current first-party programme evidence."
prog_mm_048,uni_mm_016,3,DEFERRED,Third programme slot remains reserved for future official verification.,"No exact programme title, duration or degree metadata is fabricated from historical or third-party sources."
prog_mm_052,uni_mm_018,1,DEFERRED,Current Ministry source confirms the institution but does not expose an exact current programme identity.,"University of West Yangon has a current Ministry of Education entry, but the accessible page provides institutional activity rather than programme-level degree titles."
prog_mm_053,uni_mm_018,2,DEFERRED,Second current degree identity not verified from a sufficient first-party programme-level source.,No degree title is inferred solely from general knowledge of university departments or disciplines.
prog_mm_054,uni_mm_018,3,DEFERRED,Third programme slot remains reserved.,External or historical listings are not treated as sufficient evidence for a current programme record.
prog_mm_055,uni_mm_019,1,DEFERRED,Exact current programme identity was not sufficiently exposed by the current first-party Ministry page.,The Ministry of Education currently lists Bago University but does not provide enough programme-level degree information for this collection pass.
prog_mm_056,uni_mm_019,2,DEFERRED,Second exact current programme identity could not be verified to EduPath's first-party programme standard.,Department or research references are not converted into degree programme identities.
prog_mm_057,uni_mm_019,3,DEFERRED,Third programme slot remains reserved for future first-party verification.,No programme name is fabricated.
prog_mm_058,uni_mm_020,1,DEFERRED,Current Ministry source confirms Dawei University but does not provide sufficient exact programme-level degree information.,"Current Ministry institutional records are retained as evidence of the university, not as proof of a specific degree programme."
prog_mm_059,uni_mm_020,2,DEFERRED,Second exact current programme title not verified to EduPath source standard.,"Research publications may identify academic departments, but department existence alone is not treated as programme-level verification."
prog_mm_060,uni_mm_020,3,DEFERRED,Third slot remains reserved until an appropriate official programme source can be verified.,No degree identity is fabricated.
