program_id,international_applicants_status,international_application_url,international_requirements_note,international_applicants_last_verified_at
prog_th_001,verified_yes,https://admission.ise.eng.chula.ac.th/Inter/,Chulalongkorn official programme page verifies the international B.Eng. programme. ISE official 2026 International Admission explicitly covers foreign students.,2026-08-22
prog_th_002,verified_yes,https://admission.ise.eng.chula.ac.th/Inter/,Chula Engineering official bachelor list identifies Nano Engineering as an international programme. ISE 2026 International Admission covers foreign students.,2026-08-22
prog_th_003,verified_yes,https://admission.ise.eng.chula.ac.th/Inter/,Chula Engineering official bachelor list identifies Aerospace Engineering as an international programme. ISE 2026 International Admission covers foreign students.,2026-08-22
prog_th_004,verified_yes,https://muic.mahidol.ac.th/en/study-at-muic/admissions-requirement/undergraduate-admission/overseas-students/,MUIC official programme page verifies the B.Sc. Computer Science international programme and four-year full-time structure. MUIC Overseas Students admissions explicitly accepts Thai or foreign nationals residing abroad.,2026-08-22
prog_th_005,verified_yes,https://muic.mahidol.ac.th/en/study-at-muic/admissions-requirement/undergraduate-admission/overseas-students/,MUIC official programme page verifies the B.Sc. Biological Sciences international programme and four-year full-time structure. Overseas admission accepts foreign nationals.,2026-08-22
prog_th_006,verified_yes,https://muic.mahidol.ac.th/en/study-at-muic/admissions-requirement/undergraduate-admission/overseas-students/,MUIC official programme page verifies the B.B.A. International Business international programme and four-year full-time structure. Overseas admission accepts foreign nationals.,2026-08-22
prog_th_007,verified_yes,https://admission.reg.cmu.ac.th/ipas/main/index.php?action=apply&utype=I,CMU-IPAS 2026 officially lists Bachelor of Economics among international programmes. The same system provides a dedicated Foreign Applicant registration using passport details.,2026-08-22
prog_th_008,verified_yes,https://admission.reg.cmu.ac.th/ipas/main/index.php?action=apply&utype=I,CMU-IPAS 2026 officially lists B.Sc. Software Engineering. Foreign applicants have a dedicated passport-based registration route.,2026-08-22
prog_th_009,verified_yes,https://admission.reg.cmu.ac.th/ipas/main/index.php?action=apply&utype=I,CMU-IPAS 2026 officially lists B.Eng. Civil Engineering. Foreign applicants have a dedicated passport-based registration route.,2026-08-22
prog_th_010,verified_yes,https://applyadmissions.siit.tu.ac.th/,SIIT official undergraduate page lists Chemical Engineering among its international programmes and provides the 2026 Excellent Foreign Students admission route.,2026-08-22
