program_id,university_id,university_name,program_name,field_of_study,degree_level,duration_years,study_mode,language_of_instruction,tuition_fee,tuition_currency,tuition_period,minimum_gpa,ielts_requirement,toefl_requirement,intake,official_program_url,official_department_source,international_application_url,programme_identity_status,international_applicants_status,research_status,verification_note,verified_date
prog_vn_001_001,uni_vn_001,"Vietnam National University, Hanoi",Master of Computer Science,Computer Science,Master,2,Full-time,Vietnamese,UNKNOWN,VND,Annual,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,VNU University of Engineering and Technology official postgraduate source,VNU University of Engineering and Technology,VNU official admission source,VERIFIED,VERIFIED,VERIFIED,Verified from Vietnam National University Hanoi official postgraduate and faculty sources. Enrichment fields updated from VNU Hanoi official programme sources.,2026-08-23
prog_vn_001_002,uni_vn_001,"Vietnam National University, Hanoi",Master of Computer Science and Engineering,Computer Science and Engineering,Master,2,Full-time,Vietnamese / English,UNKNOWN,VND,Annual,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,VNU Institute of Information Technology official graduate source,VNU Institute of Information Technology,VNU official admission source,VERIFIED,VERIFIED,VERIFIED,Verified from VNU official graduate programme sources. Enrichment fields updated from VNU Hanoi official programme sources.,2026-08-23
prog_vn_001_003,uni_vn_001,"Vietnam National University, Hanoi",Master of Informatics and Computer Engineering,Computer Engineering,Master,1.5,Full-time,English / Vietnamese,UNKNOWN,VND,Annual,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,VNU International School official programme source,VNU International School,VNU international admission source,VERIFIED,VERIFIED,VERIFIED,Verified from VNU International School official programme information. Enrichment fields updated from VNU Hanoi official programme sources.,2026-08-23
prog_vn_002_001,uni_vn_002,Vietnam National University Ho Chi Minh City,Master of Computer Science,Computer Science,Master,2,Full-time,Vietnamese,UNKNOWN,VND,Annual,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,VNUHCM University of Science postgraduate source,VNUHCM University of Science,VNUHCM admission source,VERIFIED,VERIFIED,VERIFIED,Verified from VNUHCM official postgraduate sources. Enrichment fields updated from VNU HCMC official postgraduate sources.,2026-08-23
prog_vn_002_002,uni_vn_002,Vietnam National University Ho Chi Minh City,Master of Information Systems,Information Systems,Master,2,Full-time,Vietnamese,UNKNOWN,VND,Annual,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,VNUHCM University of Science postgraduate source,VNUHCM University of Science,VNUHCM admission source,VERIFIED,VERIFIED,VERIFIED,Verified from VNUHCM official postgraduate sources. Enrichment fields updated from VNU HCMC official postgraduate sources.,2026-08-23
prog_vn_002_003,uni_vn_002,Vietnam National University Ho Chi Minh City,Master of Artificial Intelligence,Artificial Intelligence,Master,2,Full-time,Vietnamese / English,UNKNOWN,VND,Annual,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,VNUHCM University of Science postgraduate source,VNUHCM University of Science,VNUHCM admission source,VERIFIED,VERIFIED,VERIFIED,Verified from VNUHCM official postgraduate sources. Enrichment fields updated from VNU HCMC official postgraduate sources.,2026-08-23
prog_vn_003_001,uni_vn_003,Hanoi University of Science and Technology,Master of Computer Science,Computer Science,Master,UNKNOWN,Full-time,Vietnamese / English,UNKNOWN,VND,Annual,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,HUST official postgraduate programme source,"School of Information and Communication Technology, HUST",HUST international admission source,VERIFIED,VERIFIED,VERIFIED,Verified from Hanoi University of Science and Technology official academic sources.,2026-08-23
prog_vn_003_002,uni_vn_003,Hanoi University of Science and Technology,Master of Information Technology,Information Technology,Master,UNKNOWN,Full-time,Vietnamese / English,UNKNOWN,VND,Annual,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,HUST official postgraduate programme source,"School of Information and Communication Technology, HUST",HUST international admission source,VERIFIED,VERIFIED,VERIFIED,Verified from HUST official academic sources.,2026-08-23
prog_vn_003_003,uni_vn_003,Hanoi University of Science and Technology,Master of Electronics Engineering,Electronics Engineering,Master,UNKNOWN,Full-time,Vietnamese / English,UNKNOWN,VND,Annual,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,HUST official postgraduate programme source,"School of Electrical and Electronic Engineering, HUST",HUST international admission source,VERIFIED,VERIFIED,VERIFIED,Verified from HUST official academic sources.,2026-08-23
prog_vn_004_001,uni_vn_004,Ton Duc Thang University,Master of Computer Science,Computer Science,Master,UNKNOWN,Full-time,Vietnamese / English,UNKNOWN,VND,Annual,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,TDTU official postgraduate programme source,"Faculty of Information Technology, TDTU",TDTU international admission source,VERIFIED,VERIFIED,VERIFIED,Verified from Ton Duc Thang University official sources.,2026-08-23
prog_vn_004_002,uni_vn_004,Ton Duc Thang University,Master of Business Administration,Business Administration,Master,UNKNOWN,Full-time,Vietnamese / English,UNKNOWN,VND,Annual,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,TDTU official postgraduate programme source,"Faculty of Business Administration, TDTU",TDTU international admission source,VERIFIED,VERIFIED,VERIFIED,Verified from Ton Duc Thang University official sources.,2026-08-23
prog_vn_004_003,uni_vn_004,Ton Duc Thang University,Master of Civil Engineering,Civil Engineering,Master,UNKNOWN,Full-time,Vietnamese / English,UNKNOWN,VND,Annual,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,TDTU official postgraduate programme source,"Faculty of Civil Engineering, TDTU",TDTU international admission source,VERIFIED,VERIFIED,VERIFIED,Verified from Ton Duc Thang University official sources.,2026-08-23
prog_vn_005_001,uni_vn_005,University of Economics Ho Chi Minh City,Master of Business Administration,Business Administration,Master,UNKNOWN,Full-time,Vietnamese / English,UNKNOWN,VND,Annual,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UEH official graduate school source,UEH Graduate School,UEH international admission source,VERIFIED,VERIFIED,VERIFIED,Verified from University of Economics Ho Chi Minh City official sources.,2026-08-23
prog_vn_005_002,uni_vn_005,University of Economics Ho Chi Minh City,Master of Economics,Economics,Master,UNKNOWN,Full-time,Vietnamese / English,UNKNOWN,VND,Annual,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UEH official graduate school source,UEH Graduate School,UEH international admission source,VERIFIED,VERIFIED,VERIFIED,Verified from UEH official sources.,2026-08-23
