program_id,university_id,program_name,degree_level,duration_years,study_mode,duration_source_name,duration_source_url,duration_reason,study_mode_basis,verified_at
prog_jp_001,uni_jp_001,Computer Science,Master,2,Full-time,Study in Japan - Graduate Schools,https://www.studyinjapan.go.jp/en/planning/learn-about-schools/graduate-schools/,Master's programs generally require two years. Standard doctoral latter stages are generally three years.,EduPath normalization for regular degree program records; not an official claim that no alternative study mode exists.,2026-08-09
prog_jp_002,uni_jp_001,Mathematical Informatics,Master,2,Full-time,Study in Japan - Graduate Schools,https://www.studyinjapan.go.jp/en/planning/learn-about-schools/graduate-schools/,Master's programs generally require two years. Standard doctoral latter stages are generally three years.,EduPath normalization for regular degree program records; not an official claim that no alternative study mode exists.,2026-08-09
prog_jp_003,uni_jp_001,Information Physics & Computing,Master,2,Full-time,Study in Japan - Graduate Schools,https://www.studyinjapan.go.jp/en/planning/learn-about-schools/graduate-schools/,Master's programs generally require two years. Standard doctoral latter stages are generally three years.,EduPath normalization for regular degree program records; not an official claim that no alternative study mode exists.,2026-08-09
prog_jp_004,uni_jp_002,Intelligence Science and Technology,Master,2,Full-time,Study in Japan - Graduate Schools,https://www.studyinjapan.go.jp/en/planning/learn-about-schools/graduate-schools/,Master's programs generally require two years. Standard doctoral latter stages are generally three years.,EduPath normalization for regular degree program records; not an official claim that no alternative study mode exists.,2026-08-09
prog_jp_005,uni_jp_002,Communications and Computer Engineering,Master,2,Full-time,Study in Japan - Graduate Schools,https://www.studyinjapan.go.jp/en/planning/learn-about-schools/graduate-schools/,Master's programs generally require two years. Standard doctoral latter stages are generally three years.,EduPath normalization for regular degree program records; not an official claim that no alternative study mode exists.,2026-08-09
prog_jp_006,uni_jp_002,Data Science,Master,2,Full-time,Study in Japan - Graduate Schools,https://www.studyinjapan.go.jp/en/planning/learn-about-schools/graduate-schools/,Master's programs generally require two years. Standard doctoral latter stages are generally three years.,EduPath normalization for regular degree program records; not an official claim that no alternative study mode exists.,2026-08-09
prog_jp_007,uni_jp_003,Computer Science,Master,2,Full-time,Study in Japan - Graduate Schools,https://www.studyinjapan.go.jp/en/planning/learn-about-schools/graduate-schools/,Master's programs generally require two years. Standard doctoral latter stages are generally three years.,EduPath normalization for regular degree program records; not an official claim that no alternative study mode exists.,2026-08-09
prog_jp_008,uni_jp_003,Information Networking,Master,2,Full-time,Study in Japan - Graduate Schools,https://www.studyinjapan.go.jp/en/planning/learn-about-schools/graduate-schools/,Master's programs generally require two years. Standard doctoral latter stages are generally three years.,EduPath normalization for regular degree program records; not an official claim that no alternative study mode exists.,2026-08-09
prog_jp_009,uni_jp_003,Multimedia Engineering,Master,2,Full-time,Study in Japan - Graduate Schools,https://www.studyinjapan.go.jp/en/planning/learn-about-schools/graduate-schools/,Master's programs generally require two years. Standard doctoral latter stages are generally three years.,EduPath normalization for regular degree program records; not an official claim that no alternative study mode exists.,2026-08-09
prog_jp_010,uni_jp_004,Computer and Mathematical Sciences,Master,2,Full-time,Study in Japan - Graduate Schools,https://www.studyinjapan.go.jp/en/planning/learn-about-schools/graduate-schools/,Master's programs generally require two years. Standard doctoral latter stages are generally three years.,EduPath normalization for regular degree program records; not an official claim that no alternative study mode exists.,2026-08-09
