program_id,university_id,program_name,degree_level,gpa_status,english_status,accepted_tests,numeric_minimum_status,minimum_gpa_stored,gpa_scale_stored,ielts_minimum_stored,toefl_minimum_stored,source_url,verified_at,note
prog_jp_001,uni_jp_001,Computer Science,Master,No universal numeric minimum verified,TOEFL score used in admission,TOEFL,No universal cutoff verified,,,,,https://www.i.u-tokyo.ac.jp/edu/entra/entra_e.shtml,2026-08-09,AY2027 IST admission uses TOEFL scores. A universal minimum score is not stored because one has not been verified for all seed programs.
prog_jp_002,uni_jp_001,Mathematical Informatics,Master,No universal numeric minimum verified,TOEFL score used in admission,TOEFL,No universal cutoff verified,,,,,https://www.i.u-tokyo.ac.jp/edu/entra/entra_e.shtml,2026-08-09,AY2027 IST admission uses TOEFL scores. A universal minimum score is not stored because one has not been verified for all seed programs.
prog_jp_003,uni_jp_001,Information Physics & Computing,Master,No universal numeric minimum verified,TOEFL score used in admission,TOEFL,No universal cutoff verified,,,,,https://www.i.u-tokyo.ac.jp/edu/entra/entra_e.shtml,2026-08-09,AY2027 IST admission uses TOEFL scores. A universal minimum score is not stored because one has not been verified for all seed programs.
prog_jp_004,uni_jp_002,Intelligence Science and Technology,Master,No universal numeric minimum verified,English proficiency requirements depend on admission route,See current admission guide,No universal cutoff applied,,,,,https://www.i.kyoto-u.ac.jp/en/admission/,2026-08-09,Admission requirements vary by course and admission route.
prog_jp_005,uni_jp_002,Communications and Computer Engineering,Master,No universal numeric minimum verified,English proficiency requirements depend on admission route,See current admission guide,No universal cutoff applied,,,,,https://www.i.kyoto-u.ac.jp/en/admission/,2026-08-09,Admission requirements vary by course and admission route.
prog_jp_006,uni_jp_002,Data Science,Master,No universal numeric minimum verified,English proficiency requirements depend on admission route,See current admission guide,No universal cutoff applied,,,,,https://www.i.kyoto-u.ac.jp/en/admission/,2026-08-09,Admission requirements vary by course and admission route.
prog_jp_007,uni_jp_003,Computer Science,Master,No universal numeric minimum verified,External English test handling is major/exam specific,TOEFL / TOEIC depending on guide,No universal cutoff applied,,,,,https://www.ist.osaka-u.ac.jp/english/examinees/admission/guidelines2027.php,2026-08-09,Use the relevant AY2027 application guide for each major.
prog_jp_008,uni_jp_003,Information Networking,Master,No universal numeric minimum verified,External English test handling is major/exam specific,TOEFL / TOEIC depending on guide,No universal cutoff applied,,,,,https://www.ist.osaka-u.ac.jp/english/examinees/admission/guidelines2027.php,2026-08-09,Use the relevant AY2027 application guide for each major.
prog_jp_009,uni_jp_003,Multimedia Engineering,Master,No universal numeric minimum verified,External English test handling is major/exam specific,TOEFL / TOEIC depending on guide,No universal cutoff applied,,,,,https://www.ist.osaka-u.ac.jp/english/examinees/admission/guidelines2027.php,2026-08-09,Use the relevant AY2027 application guide for each major.
prog_jp_010,uni_jp_004,Computer and Mathematical Sciences,Master,No universal numeric minimum verified,English score sheet commonly required,TOEFL / TOEIC,No universal cutoff applied,,,,,https://www.is.tohoku.ac.jp/en/news/exam/,2026-08-09,Requirements can differ by admission schedule and laboratory.
prog_jp_011,uni_jp_004,System Information Sciences,Master,No universal numeric minimum verified,English score sheet commonly required,TOEFL / TOEIC,No universal cutoff applied,,,,,https://www.is.tohoku.ac.jp/en/news/exam/,2026-08-09,Requirements can differ by admission schedule and laboratory.
prog_jp_012,uni_jp_004,Applied Information Sciences,Master,No universal numeric minimum verified,English score sheet commonly required,TOEFL / TOEIC,No universal cutoff applied,,,,,https://www.is.tohoku.ac.jp/en/news/exam/,2026-08-09,Requirements can differ by admission schedule and laboratory.
prog_jp_013,uni_jp_005,Mathematical Informatics,Master,No universal numeric minimum verified,Program-specific verification required,Needs Review,Not safely verified,,,,,https://www.i.nagoya-u.ac.jp/en/gs/entranceexamination/admission-en/,2026-08-09,Do not assign numeric GPA or English cutoffs without the current program-specific guide.
prog_jp_014,uni_jp_005,Computing and Software Systems,Master,No universal numeric minimum verified,Program-specific verification required,Needs Review,Not safely verified,,,,,https://www.i.nagoya-u.ac.jp/en/gs/entranceexamination/admission-en/,2026-08-09,Do not assign numeric GPA or English cutoffs without the current program-specific guide.
prog_jp_015,uni_jp_005,Intelligent Systems,Master,No universal numeric minimum verified,Program-specific verification required,Needs Review,Not safely verified,,,,,https://www.i.nagoya-u.ac.jp/en/gs/entranceexamination/admission-en/,2026-08-09,Do not assign numeric GPA or English cutoffs without the current program-specific guide.
