program_id,university_id,university_name,country_id,program_slot,program_name,field_of_study,degree_level,duration_years,study_mode,language_of_instruction,tuition_fee,tuition_currency,tuition_period,minimum_gpa,gpa_scale,ielts_requirement,toefl_requirement,intake,application_deadline,program_url,programme_identity_status,programme_identity_evidence,official_university_website,research_status,research_note,last_verified_at,international_applicants_status,international_application_url,international_requirements_note,international_applicants_last_verified_at
prog_mn_001,uni_mn_001,National University of Mongolia,country_mn,1,Business Administration,Business Administration,Bachelor,4,Full-time,Unknown,,,,,,,,,,https://registration.num.edu.mn/Admission/Programs/2,VERIFIED,Current NUM foreign-undergraduate admission portal lists Business administration as an undergraduate programme.,https://portal.num.edu.mn/en,VERIFIED,NUM general undergraduate information states four years of full-time study. Programme teaching language is not inferred from the admission language test.,2026-08-22,verified_yes,https://registration.num.edu.mn/Admission/Programs/2,NUM undergraduate admission portal explicitly requires applicants to be foreign nationals and accepts them into undergraduate programmes.,2026-08-22
prog_mn_002,uni_mn_001,National University of Mongolia,country_mn,2,Information Technology,Information Technology,Bachelor,4,Full-time,Unknown,,,,,,,,,,https://registration.num.edu.mn/Admission/Programs/2,VERIFIED,Current NUM foreign-undergraduate programme list includes Information Technology.,https://portal.num.edu.mn/en,VERIFIED,Four-year full-time duration comes from NUM's general undergraduate programme information.,2026-08-22,verified_yes,https://registration.num.edu.mn/Admission/Programs/2,The current NUM undergraduate route is explicitly for foreign nationals.,2026-08-22
prog_mn_003,uni_mn_001,National University of Mongolia,country_mn,3,Electrical Engineering,Electrical Engineering,Bachelor,4,Full-time,Unknown,,,,,,,,,,https://registration.num.edu.mn/Admission/Programs/2,VERIFIED,Current NUM foreign-undergraduate programme list includes Electrical Engineering.,https://portal.num.edu.mn/en,VERIFIED,Four-year full-time duration verified from NUM general undergraduate information.,2026-08-22,verified_yes,https://registration.num.edu.mn/Admission/Programs/2,Foreign nationals are explicitly eligible to use NUM's undergraduate admission route.,2026-08-22
prog_mn_004,uni_mn_002,Mongolian University of Science and Technology,country_mn,1,Structural Engineering,Structural Engineering,Bachelor,4,,English,,,,,,5.5,60,,,https://admission.must.edu.mn/programs,VERIFIED,MUST international programme portal lists Structural Engineering as an English-delivered Bachelor's programme.,https://must.edu.mn/en/,VERIFIED,Official programme page states 4 years / 8 semesters and English delivery.,2026-08-22,verified_yes,https://admission.must.edu.mn/,MUST Fall 2026 International Admissions is open to international applicants. Minimum English evidence includes IELTS 5.5 or TOEFL iBT 60.,2026-08-22
prog_mn_005,uni_mn_002,Mongolian University of Science and Technology,country_mn,2,Business Administration,Business Administration,Bachelor,4,,English,,,,,,5.5,60,,,https://admission.must.edu.mn/programs,VERIFIED,Current MUST international programme portal lists Business Administration.,https://must.edu.mn/en/,VERIFIED,Official programme information states 4 years / 8 semesters and English delivery.,2026-08-22,verified_yes,https://admission.must.edu.mn/,Current MUST international admissions route explicitly accepts international applicants; IELTS 5.5 / TOEFL iBT 60 minimum English scores are published.,2026-08-22
prog_mn_006,uni_mn_002,Mongolian University of Science and Technology,country_mn,3,Mechanical Engineering,Mechanical Engineering,Bachelor,4,,English,,,,,,5.5,60,,,https://admission.must.edu.mn/programs,VERIFIED,Current MUST international programme portal lists Mechanical Engineering.,https://must.edu.mn/en/,VERIFIED,Official programme information states 4 years / 8 semesters and English delivery.,2026-08-22,verified_yes,https://admission.must.edu.mn/,Current MUST international admission route and English entry requirements apply to the selected international undergraduate programme.,2026-08-22
prog_mn_007,uni_mn_003,Mongolian National University of Medical Sciences,country_mn,1,Medicine,Medicine,Bachelor,6,,Unknown,,,,,,,,,,https://mnums.edu.mn/%D0%B1%D0%B0%D0%BA%D0%B0%D0%BB%D0%B0%D0%B2%D1%80/,VERIFIED,Current MNUMS Bachelor programme table lists Medicine with a six-year duration.,https://mnums.edu.mn/en/home-en/,VERIFIED,Whole-programme language is kept Unknown. No unsupported IELTS/TOEFL minimum is added.,2026-08-22,verified_yes,https://news.mnums.edu.mn/?p=10069,MNUMS announced 2026 admission for foreign citizens to undergraduate programmes with online document submission.,2026-08-22
prog_mn_008,uni_mn_003,Mongolian National University of Medical Sciences,country_mn,2,Dentistry,Dentistry,Bachelor,6,,Unknown,,,,,,,,,,https://mnums.edu.mn/%D0%B1%D0%B0%D0%BA%D0%B0%D0%BB%D0%B0%D0%B2%D1%80/,VERIFIED,Current MNUMS Bachelor programme table lists Dentistry with a six-year duration.,https://mnums.edu.mn/en/home-en/,VERIFIED,Instruction language remains Unknown without programme-level MOI evidence.,2026-08-22,verified_yes,https://news.mnums.edu.mn/?p=10069,Current 2026 MNUMS notice explicitly opens undergraduate applications to foreign citizens.,2026-08-22
prog_mn_009,uni_mn_003,Mongolian National University of Medical Sciences,country_mn,3,Nursing,Nursing,Bachelor,4,,Unknown,,,,,,,,,,https://mnums.edu.mn/%D0%B1%D0%B0%D0%BA%D0%B0%D0%BB%D0%B0%D0%B2%D1%80/,VERIFIED,Current MNUMS Bachelor programme table lists Nursing with a four-year duration.,https://mnums.edu.mn/en/home-en/,VERIFIED,Instruction language remains Unknown.,2026-08-22,verified_yes,https://news.mnums.edu.mn/?p=10069,MNUMS current foreign-undergraduate admission announcement supports international applicants.,2026-08-22
prog_mn_010,uni_mn_004,Mongolian National University of Education,country_mn,1,Teacher Education in Mathematics,Education / Mathematics,Bachelor,,,Unknown,,,,,,,,,,https://smns.msue.edu.mn/p/r/5648,VERIFIED,Current MNUE School of Mathematics and Natural Sciences page lists the Bachelor teacher-education programme in Mathematics.,https://msue.edu.mn/,VERIFIED,"Credits are published, but duration is not inferred from credit count.",2026-08-22,unknown,,A sufficiently explicit current direct international Bachelor admission route was not verified in this research pass.,2026-08-22
prog_mn_011,uni_mn_004,Mongolian National University of Education,country_mn,2,Teacher Education in Informatics,Education / Information Technology,Bachelor,,,Unknown,,,,,,,,,,https://smns.msue.edu.mn/p/r/5648,VERIFIED,Current MNUE programme table lists the Bachelor teacher-education programme in Informatics.,https://msue.edu.mn/,VERIFIED,Duration and teaching language remain unresolved rather than inferred.,2026-08-22,unknown,,"Current programme identity is verified, but direct foreign-degree admission eligibility remains unresolved.",2026-08-22
prog_mn_012,uni_mn_004,Mongolian National University of Education,country_mn,3,Software,Software Engineering,Bachelor,,,Unknown,,,,,,,,,,https://smns.msue.edu.mn/p/r/5648,VERIFIED,Current MNUE programme table lists Software as a Bachelor programme.,https://msue.edu.mn/,VERIFIED,Published credit total is not converted into an assumed programme duration.,2026-08-22,unknown,,No sufficiently explicit current international Bachelor admission route was verified.,2026-08-22
prog_mn_013,uni_mn_005,University of Finance and Economics,country_mn,1,Business Management,Business Administration,Bachelor,,Full-time,Unknown,,,,,,,,,,https://admission.ufe.edu.mn/en/professions/1,VERIFIED,Current UFE English undergraduate/full-time programme page lists Business management.,https://www.ufe.edu.mn/,VERIFIED,No programme duration or instruction language is inferred.,2026-08-22,unknown,,"Current programme evidence is verified, but a direct current foreign first-year Bachelor admission route was not verified.",2026-08-22
prog_mn_014,uni_mn_005,University of Finance and Economics,country_mn,2,Marketing + AI,Marketing,Bachelor,,Full-time,Unknown,,,,,,,,,,https://admission.ufe.edu.mn/en/professions/1,VERIFIED,Current UFE undergraduate/full-time programme page lists Marketing + AI.,https://www.ufe.edu.mn/,VERIFIED,Current full-time status verified; duration and language remain unresolved.,2026-08-22,unknown,,International degree-admission eligibility was not sufficiently verified from a current official source.,2026-08-22
