program_id,university_id,program_slot,program_name,field_of_study,degree_level,official_source_url,collection_status,verification_status,research_notes
prog_kh_001,uni_kh_001,1,Bachelor of Computer Science and Engineering,Computer Science and Engineering,Bachelor,https://www.rupp.edu.kh/academics/faculties_and_institutes/faculty_of_science/department_of_computer_science,Identity Collected,Current First-Party Programme Verified,Current RUPP Department of Computer Science page describes the four-year Bachelor of Computer Science and Engineering programme.
prog_kh_002,uni_kh_001,2,Bachelor of Arts in English,English,Bachelor,https://www.rupp.edu.kh/index.php/student_life,Identity Collected,Current First-Party Degree Listing Verified,RUPP official degree listing identifies Bachelor of Arts in English under IFL.
prog_kh_003,uni_kh_001,3,Bachelor of Science in Chemistry,Chemistry,Bachelor,https://www.rupp.edu.kh/index.php/student_life,Identity Collected,Current First-Party Degree Listing Verified,RUPP official degree listing identifies Bachelor of Science in Chemistry.
prog_kh_004,uni_kh_002,1,Master of Computer Science,Computer Science,Master,https://itc.edu.kh/wp-content/uploads/2025/03/Consortium_2025_Report_Activity_En.pdf,Identity Collected,Official Recent Institutional Report Verified,ITC official recent consortium activity report lists Master of Computer Science (M-ECS) as in operation.
prog_kh_005,uni_kh_002,2,"Master of Mechatronics, Information and Communication Engineering","Mechatronics, Information and Communication Engineering",Master,https://itc.edu.kh/wp-content/uploads/2025/03/Consortium_2025_Report_Activity_En.pdf,Identity Collected,Official Recent Institutional Report Verified,"ITC report lists Master of Mechatronics, Information and Communication Engineering (M-MIC) as in operation."
prog_kh_006,uni_kh_002,3,Master of Data Science,Data Science,Master,https://itc.edu.kh/wp-content/uploads/2025/03/Consortium_2025_Report_Activity_En.pdf,Identity Collected,Official Recent Institutional Report Verified,ITC recent institutional report lists Master of Data Science (M-DAS) as in operation.
prog_kh_007,uni_kh_003,1,Bachelor of Science in Veterinary Medicine,Veterinary Medicine,Bachelor,https://www.rua.edu.kh/menus/21?childId=69&pageId=26,Identity Collected,Current First-Party Programme Verified,RUA current academic-program menu explicitly lists Bachelor of Science in Veterinary Medicine.
prog_kh_008,uni_kh_003,2,Bachelor of Science in Agricultural Biosystems Engineering,Agricultural Biosystems Engineering,Bachelor,https://www.rua.edu.kh/menus/21?childId=194&pageId=26,Identity Collected,Current First-Party Programme Verified,RUA current academic-program menu explicitly lists Bachelor of Science in Agricultural Biosystems Engineering.
prog_kh_009,uni_kh_003,3,Economics and Management,Economics and Management,Bachelor,https://www.rua.edu.kh/faculties/162?page=248,Identity Collected,Current First-Party Programme Verified,RUA Faculty of Agricultural Economics and Rural Development lists Economics and Management under its Bachelor of Science programme group.
prog_kh_010,uni_kh_004,1,Master of Public Health,Public Health,Master,https://uhs.edu.kh/announcement/,Identity Collected,Current First-Party Admission Verified,UHS official announcement lists the Master of Public Health for academic year 2025-2026.
