program_id,international_applicants_status,international_application_url,international_requirements_note,international_applicants_last_verified_at
prog_mn_001,verified_yes,https://registration.num.edu.mn/Admission/Programs/2,NUM undergraduate admission portal explicitly requires applicants to be foreign nationals and accepts them into undergraduate programmes.,2026-08-22
prog_mn_002,verified_yes,https://registration.num.edu.mn/Admission/Programs/2,The current NUM undergraduate route is explicitly for foreign nationals.,2026-08-22
prog_mn_003,verified_yes,https://registration.num.edu.mn/Admission/Programs/2,Foreign nationals are explicitly eligible to use NUM's undergraduate admission route.,2026-08-22
prog_mn_004,verified_yes,https://admission.must.edu.mn/,MUST Fall 2026 International Admissions is open to international applicants. Minimum English evidence includes IELTS 5.5 or TOEFL iBT 60.,2026-08-22
prog_mn_005,verified_yes,https://admission.must.edu.mn/,Current MUST international admissions route explicitly accepts international applicants; IELTS 5.5 / TOEFL iBT 60 minimum English scores are published.,2026-08-22
prog_mn_006,verified_yes,https://admission.must.edu.mn/,Current MUST international admission route and English entry requirements apply to the selected international undergraduate programme.,2026-08-22
prog_mn_007,verified_yes,https://news.mnums.edu.mn/?p=10069,MNUMS announced 2026 admission for foreign citizens to undergraduate programmes with online document submission.,2026-08-22
prog_mn_008,verified_yes,https://news.mnums.edu.mn/?p=10069,Current 2026 MNUMS notice explicitly opens undergraduate applications to foreign citizens.,2026-08-22
prog_mn_009,verified_yes,https://news.mnums.edu.mn/?p=10069,MNUMS current foreign-undergraduate admission announcement supports international applicants.,2026-08-22
prog_mn_010,unknown,,A sufficiently explicit current direct international Bachelor admission route was not verified in this research pass.,2026-08-22
prog_mn_011,unknown,,"Current programme identity is verified, but direct foreign-degree admission eligibility remains unresolved.",2026-08-22
prog_mn_012,unknown,,No sufficiently explicit current international Bachelor admission route was verified.,2026-08-22
prog_mn_013,unknown,,"Current programme evidence is verified, but a direct current foreign first-year Bachelor admission route was not verified.",2026-08-22
prog_mn_014,unknown,,International degree-admission eligibility was not sufficiently verified from a current official source.,2026-08-22
prog_mn_015,unknown,,Current explicit international Bachelor admission eligibility was not verified.,2026-08-22
prog_mn_016,unknown,,"An international-office contact exists, but a sufficiently explicit current foreign-degree admission route for this programme was not verified.",2026-08-22
prog_mn_017,unknown,,Direct foreign-degree admission eligibility remains unresolved.,2026-08-22
prog_mn_018,unknown,,No sufficiently explicit current international degree-admission route was verified.,2026-08-22
prog_mn_019,verified_yes,https://www.gmit.edu.mn/eng/p/13,Current GMIT admissions information explicitly includes international applicants. Current admission rules support IELTS 6.0 or TOEFL iBT 80 as English-test equivalents.,2026-08-22
prog_mn_020,verified_yes,https://www.gmit.edu.mn/eng/p/13,GMIT current Bachelor admission information explicitly refers to international applicants and English proficiency evidence.,2026-08-22
prog_mn_021,verified_yes,https://www.gmit.edu.mn/eng/p/13,Current GMIT admissions source includes international Bachelor applicants.,2026-08-22
prog_mn_025,verified_yes,https://otgontenger.edu.mn/en/about/rules,OTU's official procedure explicitly governs enrollment of foreign citizens to degree programmes.,2026-08-22
prog_mn_026,verified_yes,https://otgontenger.edu.mn/en/about/rules,Official OTU foreign-citizen regulation explicitly covers degree-program admission.,2026-08-22
prog_mn_027,verified_yes,https://otgontenger.edu.mn/en/about/rules,Foreign citizens may apply to OTU degree programmes under the university's official international admission procedure.,2026-08-22
prog_mn_028,verified_yes,https://etugen.edu.mn/Home/admission/23,Etugen maintains a dedicated foreign-student Bachelor admission procedure and application window.,2026-08-22
prog_mn_029,verified_yes,https://etugen.edu.mn/Home/admission/23,Etugen's official foreign-student admission page explicitly accepts applications to Bachelor degree programmes.,2026-08-22
prog_mn_030,verified_yes,https://etugen.edu.mn/Home/admission/23,Etugen explicitly provides foreign-student Bachelor admission procedures.,2026-08-22
prog_mn_031,unknown,,"The university/programme identity is verified, but a sufficiently explicit current foreign first-year degree admission route was not verified.",2026-08-22
prog_mn_032,unknown,,Direct current foreign-degree admission eligibility remains unresolved.,2026-08-22
prog_mn_033,unknown,,"Programme identity is current, but an explicit foreign Bachelor admission route was not verified.",2026-08-22
prog_mn_034,verified_yes,https://en.mandakh.edu.mn/admission-undergraduate-programs,Mandakh provides an official Undergraduate International Admissions section containing its undergraduate programme menu.,2026-08-22
prog_mn_035,verified_yes,https://en.mandakh.edu.mn/admission-undergraduate-programs,Mandakh has a dedicated official Undergraduate International Admissions page.,2026-08-22
prog_mn_036,verified_yes,https://en.mandakh.edu.mn/admission-undergraduate-programs,Mandakh's official Undergraduate International Admissions section supports international undergraduate applications.,2026-08-22
