scholarship_id,scholarship_name,field,verified_value,mongodb_value,api_type,classification,safe_normalized_value,reason,recommended_next_action
sch_hk_001,Hong Kong PhD Fellowship Scheme (HKPFS),scholarship_id,"""""","""sch_hk_001""",str,MANUAL_REVIEW,null,"The verified source is blank while MongoDB contains a value, or the field does not meet the safe optional-missing rule.",REVIEW_PROVENANCE_AND_INTEGRATION_MAPPING
sch_hk_001,Hong Kong PhD Fellowship Scheme (HKPFS),host_university_id,"""""","""<MISSING>""",str | None,SAFE_OPTIONAL_MISSING,null,"Verified source is blank, MongoDB omits the key, and the API field has default None; omission is already valid.",NO_DATABASE_CHANGE
sch_hk_001,Hong Kong PhD Fellowship Scheme (HKPFS),eligible_nationalities,"""Applicants from all over the world""","""<MISSING>""",list[str] | None,SAFE_RESTORE,"[""Applicants from all over the world""]",MongoDB lost a verified value and the type gate found a lossless conversion. Semicolon/pipe-delimited source text converts losslessly to list[str].,UPDATE_EXISTING_INTEGRATED_RECORD_IN_LATER_REPAIR
sch_hk_001,Hong Kong PhD Fellowship Scheme (HKPFS),fields_of_study,"""""","""<MISSING>""",list[str] | None,SAFE_OPTIONAL_MISSING,null,"Verified source is blank, MongoDB omits the key, and the API field has default None; omission is already valid.",NO_DATABASE_CHANGE
sch_hk_001,Hong Kong PhD Fellowship Scheme (HKPFS),minimum_gpa,"""""","""<MISSING>""",int | float | None,SAFE_OPTIONAL_MISSING,null,"Verified source is blank, MongoDB omits the key, and the API field has default None; omission is already valid.",NO_DATABASE_CHANGE
sch_hk_001,Hong Kong PhD Fellowship Scheme (HKPFS),gpa_scale,"""""","""<MISSING>""",int | float | None,SAFE_OPTIONAL_MISSING,null,"Verified source is blank, MongoDB omits the key, and the API field has default None; omission is already valid.",NO_DATABASE_CHANGE
sch_hk_001,Hong Kong PhD Fellowship Scheme (HKPFS),ielts_requirement,"""""","""<MISSING>""",int | float | None,SAFE_OPTIONAL_MISSING,null,"Verified source is blank, MongoDB omits the key, and the API field has default None; omission is already valid.",NO_DATABASE_CHANGE
sch_hk_001,Hong Kong PhD Fellowship Scheme (HKPFS),toefl_requirement,"""""","""<MISSING>""",int | None,SAFE_OPTIONAL_MISSING,null,"Verified source is blank, MongoDB omits the key, and the API field has default None; omission is already valid.",NO_DATABASE_CHANGE
sch_hk_001,Hong Kong PhD Fellowship Scheme (HKPFS),age_limit,"""""","""<MISSING>""",int | None,SAFE_OPTIONAL_MISSING,null,"Verified source is blank, MongoDB omits the key, and the API field has default None; omission is already valid.",NO_DATABASE_CHANGE
sch_hk_001,Hong Kong PhD Fellowship Scheme (HKPFS),tuition_coverage,"""""","""<MISSING>""",str | None,SAFE_OPTIONAL_MISSING,null,"Verified source is blank, MongoDB omits the key, and the API field has default None; omission is already valid.",NO_DATABASE_CHANGE
sch_hk_001,Hong Kong PhD Fellowship Scheme (HKPFS),accommodation_support,"""""","""<MISSING>""",str | None,SAFE_OPTIONAL_MISSING,null,"Verified source is blank, MongoDB omits the key, and the API field has default None; omission is already valid.",NO_DATABASE_CHANGE
sch_hk_001,Hong Kong PhD Fellowship Scheme (HKPFS),health_insurance,"""""","""<MISSING>""",str | None,SAFE_OPTIONAL_MISSING,null,"Verified source is blank, MongoDB omits the key, and the API field has default None; omission is already valid.",NO_DATABASE_CHANGE
sch_hk_001,Hong Kong PhD Fellowship Scheme (HKPFS),required_documents,"""""","""<MISSING>""",list[str] | None,SAFE_OPTIONAL_MISSING,null,"Verified source is blank, MongoDB omits the key, and the API field has default None; omission is already valid.",NO_DATABASE_CHANGE
sch_hk_001,Hong Kong PhD Fellowship Scheme (HKPFS),scholarship_status,"""""","""<MISSING>""",str,RESEARCH_REQUIRED,null,"The API/business field is required, but the verified source contains no value. A value must not be invented.",VERIFY_REQUIRED_FIELD_FROM_OFFICIAL_SOURCE
sch_my_001,Malaysia International Scholarship (MIS) 2026,scholarship_id,"""""","""sch_my_001""",str,MANUAL_REVIEW,null,"The verified source is blank while MongoDB contains a value, or the field does not meet the safe optional-missing rule.",REVIEW_PROVENANCE_AND_INTEGRATION_MAPPING
sch_my_001,Malaysia International Scholarship (MIS) 2026,host_university_id,"""""","""<MISSING>""",str | None,SAFE_OPTIONAL_MISSING,null,"Verified source is blank, MongoDB omits the key, and the API field has default None; omission is already valid.",NO_DATABASE_CHANGE
sch_my_001,Malaysia International Scholarship (MIS) 2026,eligible_nationalities,"""MIS 2026 recipient countries, including Myanmar and other ASEAN/Commonwealth/partner countries""","""<MISSING>""",list[str] | None,SAFE_RESTORE,"[""MIS 2026 recipient countries, including Myanmar and other ASEAN/Commonwealth/partner countries""]",MongoDB lost a verified value and the type gate found a lossless conversion. Semicolon/pipe-delimited source text converts losslessly to list[str].,UPDATE_EXISTING_INTEGRATED_RECORD_IN_LATER_REPAIR
sch_my_001,Malaysia International Scholarship (MIS) 2026,minimum_gpa,"""3.00""","""<MISSING>""",int | float | None,SAFE_RESTORE,3,MongoDB lost a verified value and the type gate found a lossless conversion. Plain numeric source text converts losslessly to a number.,UPDATE_EXISTING_INTEGRATED_RECORD_IN_LATER_REPAIR
sch_my_001,Malaysia International Scholarship (MIS) 2026,gpa_scale,"""4.00""","""<MISSING>""",int | float | None,SAFE_RESTORE,4,MongoDB lost a verified value and the type gate found a lossless conversion. Plain numeric source text converts losslessly to a number.,UPDATE_EXISTING_INTEGRATED_RECORD_IN_LATER_REPAIR
sch_my_001,Malaysia International Scholarship (MIS) 2026,ielts_requirement,"""6.0 or higher, or accepted equivalent/English-medium prior degree evidence""","""<MISSING>""",int | float | None,DATA_MODEL_CONFLICT,null,"Descriptive, conditional, or multi-value numeric text cannot be reduced to one number without losing meaning.",RESOLVE_DATA_MODEL_WITHOUT_DISCARDING_VERIFIED_MEANING
sch_my_001,Malaysia International Scholarship (MIS) 2026,toefl_requirement,"""550 PBT or equivalent""","""<MISSING>""",int | None,DATA_MODEL_CONFLICT,null,"Descriptive, conditional, or multi-value numeric text cannot be reduced to one number without losing meaning.",RESOLVE_DATA_MODEL_WITHOUT_DISCARDING_VERIFIED_MEANING
sch_my_001,Malaysia International Scholarship (MIS) 2026,age_limit,"""Master's: <=40; PhD: <=45""","""<MISSING>""",int | None,DATA_MODEL_CONFLICT,null,"Descriptive, conditional, or multi-value numeric text cannot be reduced to one number without losing meaning.",RESOLVE_DATA_MODEL_WITHOUT_DISCARDING_VERIFIED_MEANING
sch_my_001,Malaysia International Scholarship (MIS) 2026,travel_allowance,"""""","""<MISSING>""",str | None,SAFE_OPTIONAL_MISSING,null,"Verified source is blank, MongoDB omits the key, and the API field has default None; omission is already valid.",NO_DATABASE_CHANGE
sch_my_001,Malaysia International Scholarship (MIS) 2026,accommodation_support,"""""","""<MISSING>""",str | None,SAFE_OPTIONAL_MISSING,null,"Verified source is blank, MongoDB omits the key, and the API field has default None; omission is already valid.",NO_DATABASE_CHANGE
sch_my_001,Malaysia International Scholarship (MIS) 2026,health_insurance,"""""","""<MISSING>""",str | None,SAFE_OPTIONAL_MISSING,null,"Verified source is blank, MongoDB omits the key, and the API field has default None; omission is already valid.",NO_DATABASE_CHANGE
sch_my_001,Malaysia International Scholarship (MIS) 2026,application_opening_date,"""""","""<MISSING>""",datetime.datetime | None,SAFE_OPTIONAL_MISSING,null,"Verified source is blank, MongoDB omits the key, and the API field has default None; omission is already valid.",NO_DATABASE_CHANGE
sch_my_001,Malaysia International Scholarship (MIS) 2026,application_deadline,"""""","""<MISSING>""",datetime.datetime | None,SAFE_OPTIONAL_MISSING,null,"Verified source is blank, MongoDB omits the key, and the API field has default None; omission is already valid.",NO_DATABASE_CHANGE
sch_sg_001,Singapore International Graduate Award (SINGA),scholarship_id,"""""","""sch_sg_001""",str,MANUAL_REVIEW,null,"The verified source is blank while MongoDB contains a value, or the field does not meet the safe optional-missing rule.",REVIEW_PROVENANCE_AND_INTEGRATION_MAPPING
sch_sg_001,Singapore International Graduate Award (SINGA),host_university_id,"""""","""<MISSING>""",str | None,SAFE_OPTIONAL_MISSING,null,"Verified source is blank, MongoDB omits the key, and the API field has default None; omission is already valid.",NO_DATABASE_CHANGE
sch_sg_001,Singapore International Graduate Award (SINGA),eligible_nationalities,"""International students""","""<MISSING>""",list[str] | None,SAFE_RESTORE,"[""International students""]",MongoDB lost a verified value and the type gate found a lossless conversion. Semicolon/pipe-delimited source text converts losslessly to list[str].,UPDATE_EXISTING_INTEGRATED_RECORD_IN_LATER_REPAIR
sch_sg_001,Singapore International Graduate Award (SINGA),minimum_gpa,"""""","""<MISSING>""",int | float | None,SAFE_OPTIONAL_MISSING,null,"Verified source is blank, MongoDB omits the key, and the API field has default None; omission is already valid.",NO_DATABASE_CHANGE
sch_sg_001,Singapore International Graduate Award (SINGA),gpa_scale,"""""","""<MISSING>""",int | float | None,SAFE_OPTIONAL_MISSING,null,"Verified source is blank, MongoDB omits the key, and the API field has default None; omission is already valid.",NO_DATABASE_CHANGE
sch_sg_001,Singapore International Graduate Award (SINGA),ielts_requirement,"""""","""<MISSING>""",int | float | None,SAFE_OPTIONAL_MISSING,null,"Verified source is blank, MongoDB omits the key, and the API field has default None; omission is already valid.",NO_DATABASE_CHANGE
sch_sg_001,Singapore International Graduate Award (SINGA),toefl_requirement,"""""","""<MISSING>""",int | None,SAFE_OPTIONAL_MISSING,null,"Verified source is blank, MongoDB omits the key, and the API field has default None; omission is already valid.",NO_DATABASE_CHANGE
sch_sg_001,Singapore International Graduate Award (SINGA),age_limit,"""""","""<MISSING>""",int | None,SAFE_OPTIONAL_MISSING,null,"Verified source is blank, MongoDB omits the key, and the API field has default None; omission is already valid.",NO_DATABASE_CHANGE
sch_sg_001,Singapore International Graduate Award (SINGA),tuition_coverage,"""""","""<MISSING>""",str | None,SAFE_OPTIONAL_MISSING,null,"Verified source is blank, MongoDB omits the key, and the API field has default None; omission is already valid.",NO_DATABASE_CHANGE
sch_sg_001,Singapore International Graduate Award (SINGA),monthly_allowance,"""""","""<MISSING>""",int | float | None,SAFE_OPTIONAL_MISSING,null,"Verified source is blank, MongoDB omits the key, and the API field has default None; omission is already valid.",NO_DATABASE_CHANGE
sch_sg_001,Singapore International Graduate Award (SINGA),allowance_currency,"""""","""<MISSING>""",str | None,SAFE_OPTIONAL_MISSING,null,"Verified source is blank, MongoDB omits the key, and the API field has default None; omission is already valid.",NO_DATABASE_CHANGE
sch_sg_001,Singapore International Graduate Award (SINGA),travel_allowance,"""""","""<MISSING>""",str | None,SAFE_OPTIONAL_MISSING,null,"Verified source is blank, MongoDB omits the key, and the API field has default None; omission is already valid.",NO_DATABASE_CHANGE
sch_sg_001,Singapore International Graduate Award (SINGA),accommodation_support,"""""","""<MISSING>""",str | None,SAFE_OPTIONAL_MISSING,null,"Verified source is blank, MongoDB omits the key, and the API field has default None; omission is already valid.",NO_DATABASE_CHANGE
sch_sg_001,Singapore International Graduate Award (SINGA),health_insurance,"""""","""<MISSING>""",str | None,SAFE_OPTIONAL_MISSING,null,"Verified source is blank, MongoDB omits the key, and the API field has default None; omission is already valid.",NO_DATABASE_CHANGE
sch_sg_001,Singapore International Graduate Award (SINGA),required_documents,"""""","""<MISSING>""",list[str] | None,SAFE_OPTIONAL_MISSING,null,"Verified source is blank, MongoDB omits the key, and the API field has default None; omission is already valid.",NO_DATABASE_CHANGE
sch_sg_001,Singapore International Graduate Award (SINGA),application_opening_date,"""""","""<MISSING>""",datetime.datetime | None,SAFE_OPTIONAL_MISSING,null,"Verified source is blank, MongoDB omits the key, and the API field has default None; omission is already valid.",NO_DATABASE_CHANGE
sch_sg_001,Singapore International Graduate Award (SINGA),application_deadline,"""""","""<MISSING>""",datetime.datetime | None,SAFE_OPTIONAL_MISSING,null,"Verified source is blank, MongoDB omits the key, and the API field has default None; omission is already valid.",NO_DATABASE_CHANGE
sch_sg_001,Singapore International Graduate Award (SINGA),scholarship_status,"""""","""<MISSING>""",str,RESEARCH_REQUIRED,null,"The API/business field is required, but the verified source contains no value. A value must not be invented.",VERIFY_REQUIRED_FIELD_FROM_OFFICIAL_SOURCE
sch_kr_001,Global Korea Scholarship (GKS) - Graduate Degrees,scholarship_id,"""""","""sch_kr_001""",str,MANUAL_REVIEW,null,"The verified source is blank while MongoDB contains a value, or the field does not meet the safe optional-missing rule.",REVIEW_PROVENANCE_AND_INTEGRATION_MAPPING
sch_kr_001,Global Korea Scholarship (GKS) - Graduate Degrees,host_university_id,"""""","""<MISSING>""",str | None,SAFE_OPTIONAL_MISSING,null,"Verified source is blank, MongoDB omits the key, and the API field has default None; omission is already valid.",NO_DATABASE_CHANGE
sch_kr_001,Global Korea Scholarship (GKS) - Graduate Degrees,eligible_nationalities,"""Citizens of NIIED-designated participating countries""","""<MISSING>""",list[str] | None,SAFE_RESTORE,"[""Citizens of NIIED-designated participating countries""]",MongoDB lost a verified value and the type gate found a lossless conversion. Semicolon/pipe-delimited source text converts losslessly to list[str].,UPDATE_EXISTING_INTEGRATED_RECORD_IN_LATER_REPAIR
